Parcel ID,Address,SalePrice,SaleDate,MultiParcelSale,Rec-ording,AssessedValue,YearBuilt,LotArea(sf),BuildingArea,Vacant,Occupancy,Tax District
1232476002,"970 10TH ST, WAUKEE","$1,423,422",6/17/2022, ,"
                    2022-14379
                ","$17,560",2024,474474,908,N,Office - General,
1234229001,"1090 E HICKMAN RD, WAUKEE","$1,300,000",12/2/2020, ,"
                    2020-34704
                ","$180,510",2024,76704.8,5999,N,Bank - Main,
1235356002,"970 SE BRICK DR, WAUKEE","$610,327",12/18/2023, ,"
                    2023-18884
                ","$83,320",2024,64245,5945,Y,Store - Retail Small,
1519153008,"27 ELLEFSON DR, DESOTO","$240,000",6/15/2015,Y,"
                    2015-10122
                ",$0,2024,21780,15300,N,Metal Warehouse - Post Frame,
1519153008,"27 ELLEFSON DR, DESOTO",$0,10/20/2016,Y,"
                    2017-23228
                ",$0,2024,21780,15300,N,Metal Warehouse - Post Frame,
1519153008,"27 ELLEFSON DR, DESOTO","$105,000",11/17/2017,Y,"
                    2017-23229
                ",$0,2024,21780,15300,N,Metal Warehouse - Post Frame,
1519153008,"27 ELLEFSON DR, DESOTO",$0,9/21/2023,Y,"
                    2023-14563
                ",$0,2024,21780,15300,N,Metal Warehouse - Post Frame,
1601106002, , , , ,"
                    
                ","$554,960",2024,79280,12095,Y,Shopping Center - Neighborhood,
1612327002,"6960 EP TRUE PKWY, WEST DES MOINES", , , ,"
                    
                ","$4,480",2024,236966.4,17082,N,Shopping Center - Neighborhood,
1614278004, , , , ,"
                    
                ","$595,380",2024,992296.8,5432,Y,Recreational Facility,
211451902, , , , ,"
                    
                ","$120,750",2023, ,0,N,Tower - Light Design Load,
211455001,"1080 26TH ST, PERRY","$28,000",10/19/2022, ,"
                    2022-22351
                ","$5,030",2023,20114,3000,N,Metal Warehouse - Post Frame,
211455002,"1070 26TH ST, PERRY","$13,000",2/16/2022, ,"
                    2022-3516
                ","$3,200",2023,12800,635,N,Office - General,
214226002, ,"$59,000",12/15/2009,Y,"
                    2009-19844
                ","$18,140",2023,145145,4440,N,Store - Convenience,
214226002, ,"$160,000",8/8/2023, ,"
                    2023-11705
                ","$18,140",2023,145145,4440,N,Store - Convenience,
307400009, ,"$570,000",1/27/2022, ,"
                    2022-2038
                ","$80,750",2023,1306800,36000,N,Metal Light Mfg - Rigid Steel Frame,
406332006,"204 S MAIN ST, WOODWARD",$0,8/6/2020,Y,"
                    2020-20974
                ","$170,170",2023,14200,2380,N,Auto Repair,
406332006,"204 S MAIN ST, WOODWARD","$57,500",12/1/2020, ,"
                    2020-34292
                ","$170,170",2023,14200,2380,N,Auto Repair,
406332006,"204 S MAIN ST, WOODWARD","$125,000",1/20/2022, ,"
                    2022-1724
                ","$170,170",2023,14200,2380,N,Auto Repair,
406332006,"204 S MAIN ST, WOODWARD","$33,000",12/5/2005, ,"
                    2005-20954
                ","$170,170",2023,14200,2380,N,Auto Repair,
406332006,"204 S MAIN ST, WOODWARD",$0,4/1/2020, ,"
                    2020-6344
                ","$170,170",2023,14200,2380,N,Auto Repair,
406332006,"204 S MAIN ST, WOODWARD","$180,000",4/27/2023, ,"
                    2023-6133
                ","$170,170",2023,14200,2380,N,Auto Repair,
408200901,"29502 130TH ST, WOODWARD", , , ,"
                    
                ","$148,770",2023, ,0,N,Tower - Light Design Load,
708151002, ,$0,10/12/1995, ,"
                    796-662
                ","$12,340",2023,10777.4948,3432,N,Metal Retail Store - Post Frame,
708151002, ,$0,6/14/2019,Y,"
                    2019-9553
                ","$12,340",2023,10777.4948,3432,N,Metal Retail Store - Post Frame,
708151002, ,"$12,000",12/28/2021, ,"
                    2022-1600
                ","$12,340",2023,10777.4948,3432,N,Metal Retail Store - Post Frame,
708151002, ,$0,1/31/2019, ,"
                    2019-2539
                ","$12,340",2023,10777.4948,3432,N,Metal Retail Store - Post Frame,
812280005,"1700 BURR OAK BLVD, GRANGER","$346,171",6/2/2022, ,"
                    2022-14255
                ","$21,640",2023,115434,17160,N,Metal Warehouse - Rigid Steel Frame,
812280008,"1703 BURR OAK BLVD, GRANGER","$376,794",11/29/2021, ,"
                    2021-34997
                ","$28,260",2023,150717.6,22000,N,Metal Warehouse - Rigid Steel Frame,
919131005,"102 S CALDWELL, LINDEN",$0,2/23/2009, ,"
                    2009-2928
                ","$4,850",2023,16236,6042,N,Mini - Storage,
919131005,"102 S CALDWELL, LINDEN","$32,000",5/13/2004, ,"
                    2004-7276
                ","$4,850",2023,16236,6042,N,Mini - Storage,
919131005,"102 S CALDWELL, LINDEN",$0,6/21/1988, ,"
                    659-882
                ","$4,850",2023,16236,6042,N,Mini - Storage,
919131005,"102 S CALDWELL, LINDEN","$55,000",7/18/2022, ,"
                    2022-16315
                ","$4,850",2023,16236,6042,N,Mini - Storage,
1101101004,"306 SUGAR GROVE AVE, DALLAS CENTER","$59,410",6/15/2000, ,"
                    2000-8287
                ","$152,290",2023,199069.2,5600,N,Mini - Storage,
